torch implementation took 7.080 seconds to generate 1.486 seconds of audio
         3819036 function calls (3747018 primitive calls) in 9.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2802/1    0.047    0.000    9.511    9.511 {built-in method builtins.exec}
        1    0.001    0.001    9.511    9.511 physical.py:1(<module>)
        1    0.000    0.000    7.105    7.105 physical.py:646(torch_simulation)
        1    5.280    5.280    7.080    7.080 physical.py:463(torch_spring_mesh)
      236    0.008    0.000    3.682    0.016 __init__.py:1(<module>)
   2269/9    0.007    0.000    2.405    0.267 <frozen importlib._bootstrap>:986(_find_and_load)
   2256/9    0.006    0.000    2.404    0.267 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  2098/11    0.006    0.000    2.403    0.218 <frozen importlib._bootstrap>:650(_load_unlocked)
  1945/11    0.003    0.000    2.403    0.218 <frozen importlib._bootstrap_external>:837(exec_module)
  2851/10    0.001    0.000    2.401    0.240 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  931/171    0.001    0.000    1.830    0.011 {built-in method builtins.__import__}
 3164/867    0.011    0.000    1.577    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       13    0.002    0.000    1.387    0.107 __init__.py:2(<module>)
    32768    0.790    0.000    0.790    0.000 {built-in method torch.triu}
    32768    0.531    0.000    0.531    0.000 {built-in method torch.tril}
    65536    0.478    0.000    0.478    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
4362/4181    0.050    0.000    0.425    0.000 {built-in method builtins.__build_class__}
2098/2094    0.003    0.000    0.423    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
  147/145    0.000    0.000    0.385    0.003 <frozen importlib._bootstrap_external>:1164(create_module)
  147/145    0.383    0.003    0.384    0.003 {built-in method _imp.create_dynamic}
        1    0.001    0.001    0.354    0.354 _meta_registrations.py:1(<module>)
        1    0.000    0.000    0.297    0.297 pyplot.py:4(<module>)
     1945    0.011    0.000    0.225    0.000 <frozen importlib._bootstrap_external>:909(get_code)
      101    0.001    0.000    0.188    0.002 artist.py:129(_update_set_signature_and_docstring)
      100    0.000    0.000    0.184    0.002 artist.py:105(__init_subclass__)
        2    0.001    0.001    0.182    0.091 decompositions.py:1(<module>)
      114    0.000    0.000    0.151    0.001 artist.py:1804(kwdoc)
        1    0.000    0.000    0.149    0.149 figure.py:1(<module>)
7498/3337    0.005    0.000    0.142    0.000 cache.py:67(wrapper)
     1945    0.003    0.000    0.139    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.136    0.136 _peak_finding.py:1(<module>)
     1945    0.132    0.000    0.132    0.000 {built-in method marshal.loads}
      114    0.004    0.000    0.130    0.001 artist.py:1565(pprint_setters)
        5    0.000    0.000    0.128    0.026 functional.py:1(<module>)
        1    0.000    0.000    0.124    0.124 colorbar.py:1(<module>)
        1    0.000    0.000    0.119    0.119 _stats_py.py:19(<module>)
95465/92527    0.016    0.000    0.118    0.000 {built-in method builtins.hasattr}
     2215    0.011    0.000    0.113    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       27    0.000    0.000    0.113    0.004 inspect.py:772(findsource)
        1    0.000    0.000    0.112    0.112 debug_prims.py:28(register_debug_prims)
        1    0.000    0.000    0.112    0.112 si.py:1(<module>)
      306    0.004    0.000    0.111    0.000 inspect.py:726(getmodule)
        1    0.000    0.000    0.111    0.111 impl.py:332(inner)
        1    0.000    0.000    0.111    0.111 impl.py:213(_register_impl)
        1    0.000    0.000    0.111    0.111 inspect.py:1457(getframeinfo)
        3    0.000    0.000    0.107    0.036 __init__.py:3(<module>)
     4131    0.009    0.000    0.106    0.000 artist.py:1437(get_valid_values)
    22/21    0.000    0.000    0.104    0.005 __init__.py:109(import_module)
    22/21    0.000    0.000    0.104    0.005 <frozen importlib._bootstrap>:1002(_gcd_import)
    16/15    0.000    0.000    0.103    0.007 __init__.py:209(__getattr__)
  384/275    0.000    0.000    0.102    0.000 decorators.py:224(_func)
  384/275    0.000    0.000    0.101    0.000 decorators.py:99(binary_op_wrapper)
  292/226    0.002    0.000    0.099    0.000 operations.py:52(__new__)
  203/188    0.004    0.000    0.094    0.000 mul.py:197(flatten)
     2211    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
2212/2211    0.006    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
8464/8284    0.051    0.000    0.089    0.000 sympify.py:102(sympify)
        1    0.000    0.000    0.088    0.088 distributions.py:8(<module>)
 3317/703    0.001    0.000    0.087    0.000 assumptions.py:477(getit)
        1    0.000    0.000    0.084    0.084 _subplots.py:1(<module>)
        1    0.000    0.000    0.080    0.080 _axes.py:1(<module>)
  519/242    0.007    0.000    0.080    0.000 assumptions.py:489(_ask)
     1567    0.001    0.000    0.079    0.000 posixpath.py:387(realpath)
        5    0.000    0.000    0.078    0.016 dimensions.py:285(__new__)
     3347    0.018    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.075    0.075 mks.py:1(<module>)
     8899    0.006    0.000    0.074    0.000 re.py:289(_compile)
    88/80    0.000    0.000    0.072    0.001 expr.py:215(__mul__)
     6927    0.041    0.000    0.072    0.000 inspect.py:625(cleandoc)
5154/4884    0.004    0.000    0.072    0.000 typing.py:255(inner)
        1    0.000    0.000    0.071    0.071 contour.py:1(<module>)
        3    0.000    0.000    0.071    0.024 dimensions.py:433(extend)
   140342    0.031    0.000    0.071    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.070    0.070 _continuous_distns.py:6(<module>)
        1    0.000    0.000    0.068    0.068 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.068    0.068 specialpolys.py:1(<module>)
      230    0.001    0.000    0.068    0.000 containers.py:255(__new__)
        1    0.000    0.000    0.068    0.068 mksa.py:1(<module>)
     6889    0.004    0.000    0.067    0.000 inspect.py:606(getdoc)
1568/1567    0.011    0.000    0.067    0.000 posixpath.py:396(_joinrealpath)
      106    0.002    0.000    0.065    0.001 _distn_infrastructure.py:1892(__init__)
      316    0.001    0.000    0.065    0.000 sre_compile.py:759(compile)
       18    0.000    0.000    0.064    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.064    0.064 rings.py:1(<module>)
        1    0.000    0.000    0.062    0.062 length_weight_time.py:1(<module>)
     2419    0.001    0.000    0.061    0.000 inspect.py:3103(signature)
        1    0.000    0.000    0.061    0.061 quantize.py:2(<module>)
     2419    0.001    0.000    0.060    0.000 inspect.py:2851(from_callable)
        1    0.000    0.000    0.059    0.059 backend_bases.py:1(<module>)
       27    0.000    0.000    0.059    0.002 dimensions.py:225(__mul__)
3166/2429    0.009    0.000    0.059    0.000 inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.057    0.057 sympify.py:1(<module>)
